packet_version_number,packet_type,secondary_header_flag,application_process_id_process_id,application_process_id_packet_category,sequence_flags,sequence_count,data_length,coarse_time,fine_time,sync_marker,data_take_id,ecc_number,ignore_0,test_mode,rx_channel_id,instrument_configuration_id,sub_commutated_index,sub_commutated_data,space_packet_count,pri_count,error_flag,ignore_1,baq_mode,baq_block_length,ignore_2,range_decimation,rx_gain,tx_ramp_rate_polarity,tx_ramp_rate_magnitude,tx_pulse_start_frequency_polarity,tx_pulse_start_frequency_magnitude,tx_pulse_length,ignore_3,rank,pulse_repetition_interval,sampling_window_start_time,sampling_window_length,sab_ssb_calibration_p,sab_ssb_polarisation,sab_ssb_temp_comp,sab_ssb_ignore_0,sab_ssb_elevation_beam_address,sab_ssb_ignore_1,sab_ssb_azimuth_beam_address,ses_ssb_cal_mode,ses_ssb_ignore_0,ses_ssb_tx_pulse_number,ses_ssb_signal_type,ses_ssb_ignore_1,ses_ssb_swap,ses_ssb_swath_number,number_of_quads,ignore_4,azi,baq_n,baqmod,cal_iter,ele_count,cal_mode,cal_p,cal_type,data_delay,offset,packet_idx,pol,rgdec,rx,signal_type,swath,swl,swst,tstmod,txpl,txpl_,txprr,txprr_,txpsf
0,0,1,65,12,3,33,11765,1366374707,64601,892270675,194628384,11,0,0,1,7,34,54124,33,3818,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,25,0,1,1,0,4406,553404,33,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,34,11765,1366374707,64636,892270675,194628384,11,0,0,1,7,35,47619,34,3819,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,26,0,1,1,0,4406,565176,34,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,35,11765,1366374707,64671,892270675,194628384,11,0,0,1,7,36,43376,35,3820,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,27,0,1,1,0,4406,576948,35,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,36,11765,1366374707,64706,892270675,194628384,11,0,0,1,7,37,81,36,3821,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,28,0,1,1,0,4406,588720,36,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,37,11765,1366374707,64742,892270675,194628384,11,0,0,1,7,38,28985,37,3822,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,29,0,1,1,0,4406,600492,37,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,38,11765,1366374707,64777,892270675,194628384,11,0,0,1,7,39,13024,38,3823,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,30,0,1,1,0,4406,612264,38,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,39,11765,1366374707,64812,892270675,194628384,11,0,0,1,7,40,0,39,3824,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,31,0,1,1,0,4406,624036,39,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,40,11765,1366374707,64847,892270675,194628384,11,0,0,1,7,41,1280,40,3825,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,32,0,1,1,0,4406,635808,40,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,41,11765,1366374707,64882,892270675,194628384,11,0,0,1,7,42,192,41,3826,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,33,0,1,1,0,4406,647580,41,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,42,11765,1366374707,64917,892270675,194628384,11,0,0,1,7,43,21588,42,3827,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,34,0,1,1,0,4406,659352,42,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,43,11765,1366374707,64952,892270675,194628384,11,0,0,1,7,44,22610,43,3828,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,35,0,1,1,0,4406,671124,43,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,44,11765,1366374707,64987,892270675,194628384,11,0,0,1,7,45,21077,44,3829,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,36,0,1,1,0,4406,682896,44,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,45,11765,1366374707,65022,892270675,194628384,11,0,0,1,7,46,21331,45,3830,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,37,0,1,1,0,4406,694668,45,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,46,11765,1366374707,65057,892270675,194628384,11,0,0,1,7,47,24661,46,3831,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,38,0,1,1,0,4406,706440,46,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,47,11765,1366374707,65092,892270675,194628384,11,0,0,1,7,48,21850,47,3832,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,39,0,1,1,0,4406,718212,47,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,48,11765,1366374707,65127,892270675,194628384,11,0,0,1,7,49,21589,48,3833,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,40,0,1,1,0,4406,729984,48,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,49,11765,1366374707,65162,892270675,194628384,11,0,0,1,7,50,24919,49,3834,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,41,0,1,1,0,4406,741756,49,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,50,11765,1366374707,65197,892270675,194628384,11,0,0,1,7,51,22360,50,3835,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,42,0,1,1,0,4406,753528,50,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,51,11765,1366374707,65232,892270675,194628384,11,0,0,1,7,52,22616,51,3836,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,43,0,1,1,0,4406,765300,51,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,52,11765,1366374707,65267,892270675,194628384,11,0,0,1,7,53,23634,52,3837,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,44,0,1,1,0,4406,777072,52,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,53,11765,1366374707,65302,892270675,194628384,11,0,0,1,7,54,21080,53,3838,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,45,0,1,1,0,4406,788844,53,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,54,11765,1366374707,65337,892270675,194628384,11,0,0,1,7,55,21845,54,3839,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,46,0,1,1,0,4406,800616,54,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,55,11765,1366374707,65372,892270675,194628384,11,0,0,1,7,56,24661,55,3840,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,47,0,1,1,0,4406,812388,55,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,56,11765,1366374707,65407,892270675,194628384,11,0,0,1,7,57,21853,56,3841,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,48,0,1,1,0,4406,824160,56,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,57,11765,1366374707,65442,892270675,194628384,11,0,0,1,7,58,20047,57,3842,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,49,0,1,1,0,4406,835932,57,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,58,11765,1366374708,292,892270675,194628384,11,0,0,1,7,59,24402,58,3853,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,15,0,0,1,0,0,15,0,0,50,2340,0,0,31,0,50,0,1,1,7,4406,847704,58,7,1,1,15,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,59,11765,1366374708,327,892270675,194628384,11,0,0,1,7,60,21077,59,3854,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,15,0,0,1,0,0,15,0,0,50,2340,0,0,31,0,51,0,1,1,7,4406,859476,59,7,1,1,15,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
